GraphNo,Stadd1,aCo,bCo,cCo
369,0,1,1000,1000000
370,653,1,347,120409
370,0,1,1000,1000000
371,674,1,326,106276
371,0,1,1000,1000000
372,643,1,357,127449
372,0,1,1000,1000000
373,648,1,352,123904
373,0,1,1000,1000000
374,662,1,338,114244
374,0,1,1000,1000000
375,633,1,367,134689
375,0,1,1000,1000000
376,646,1,354,125316
376,0,1,1000,1000000
377,647,1,353,124609
377,0,1,1000,1000000
378,657,1,343,117649
378,0,1,1000,1000000
379,670,1,330,108900
379,0,1,1000,1000000
380,651,1,349,121801
380,0,1,1000,1000000
381,641,1,359,128881
381,0,1,1000,1000000
382,627,1,373,139129
382,0,1,1000,1000000
383,632,1,368,135424
383,0,1,1000,1000000
384,653,1,347,120409
384,0,1,1000,1000000
385,653,1,347,120409
385,0,1,1000,1000000
386,650,1,350,122500
386,0,1,1000,1000000
387,643,1,357,127449
387,0,1,1000,1000000
388,655,1,345,119025
388,0,1,1000,1000000
389,650,1,350,122500
389,0,1,1000,1000000
390,638,1,362,131044
390,0,1,1000,1000000
391,656,1,344,118336
391,0,1,1000,1000000
392,662,1,338,114244
392,0,1,1000,1000000
393,643,1,357,127449
393,0,1,1000,1000000
394,638,1,362,131044
394,0,1,1000,1000000
395,643,1,357,127449
395,0,1,1000,1000000
396,647,1,353,124609
396,0,1,1000,1000000
397,630,1,370,136900
397,0,1,1000,1000000
398,670,1,330,108900
398,0,1,1000,1000000
399,671,1,329,108241
399,0,1,1000,1000000
400,625,1,375,140625
400,0,1,1000,1000000
401,644,1,356,126736
401,0,1,1000,1000000
402,644,1,356,126736
402,0,1,1000,1000000
403,648,1,352,123904
403,0,1,1000,1000000
404,669,1,331,109561
404,0,1,1000,1000000
405,658,1,342,116964
405,0,1,1000,1000000
406,662,1,338,114244
406,0,1,1000,1000000
407,685,1,315,99225
407,0,1,1000,1000000
408,671,1,329,108241
408,0,1,1000,1000000
409,652,1,348,121104
409,0,1,1000,1000000
410,641,1,359,128881
410,0,1,1000,1000000
411,623,1,377,142129
411,0,1,1000,1000000
412,686,1,314,98596
412,0,1,1000,1000000
413,652,1,348,121104
413,0,1,1000,1000000
414,685,1,315,99225
414,0,1,1000,1000000
415,651,1,349,121801
415,0,1,1000,1000000
416,666,1,334,111556
416,0,1,1000,1000000
417,654,1,346,119716
417,0,1,1000,1000000
418,659,1,341,116281
418,0,1,1000,1000000
419,644,1,356,126736
419,0,1,1000,1000000
420,637,1,363,131769
420,0,1,1000,1000000
421,644,1,356,126736
421,0,1,1000,1000000
422,624,1,376,141376
422,0,1,1000,1000000
423,649,1,351,123201
423,0,1,1000,1000000
424,649,1,351,123201
424,0,1,1000,1000000
425,632,1,368,135424
425,0,1,1000,1000000
426,642,1,358,128164
426,0,1,1000,1000000
427,656,1,344,118336
427,0,1,1000,1000000
428,633,1,367,134689
428,0,1,1000,1000000
429,638,1,362,131044
429,0,1,1000,1000000
430,631,1,369,136161
430,0,1,1000,1000000
431,648,1,352,123904
431,0,1,1000,1000000
432,623,1,377,142129
432,0,1,1000,1000000
433,651,1,349,121801
433,0,1,1000,1000000
434,651,1,349,121801
434,0,1,1000,1000000
435,637,1,363,131769
435,0,1,1000,1000000
436,643,1,357,127449
436,0,1,1000,1000000
437,648,1,352,123904
